bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
608	NM_001310434	chr2	+	3031495	3145073	3103744	3143782	8	3031495,3095507,3103694,3114548,3119816,3137524,3140741,3142089,	3031537,3095735,3103787,3114707,3119993,3137641,3140856,3145073,	0	Fam171a1	cmpl	cmpl	-1,-1,0,1,1,1,1,2,
608	NM_001081161	chr2	+	3035659	3145081	3035827	3143782	8	3035659,3095507,3103694,3114548,3119816,3137524,3140741,3142089,	3035924,3095735,3103787,3114707,3119993,3137641,3140856,3145081,	0	Fam171a1	cmpl	cmpl	0,1,1,1,1,1,1,2,
608	NM_001347067	chr2	+	3035956	3145080	3036125	3143782	8	3035956,3095507,3103694,3114548,3119816,3137524,3140741,3142089,	3036207,3095735,3103787,3114707,3119993,3137641,3140856,3145080,	0	Fam171a1	cmpl	cmpl	0,1,1,1,1,1,1,2,
609	NM_001290368	chr2	+	3201483	3246149	3201650	3243363	14	3201483,3222083,3222668,3224254,3226738,3229727,3229933,3230132,3231965,3233411,3239842,3242102,3242535,3243342,	3201678,3222219,3222711,3224272,3226883,3229846,3230025,3230249,3232136,3233520,3240013,3242270,3242673,3246149,	0	Nmt2	cmpl	cmpl	0,1,2,0,0,1,0,2,2,2,0,0,0,0,
609	NM_001290370	chr2	+	3201483	3246149	3201568	3243363	12	3201483,3222083,3226738,3229727,3229933,3230132,3231965,3233411,3239842,3242102,3242535,3243342,	3201678,3222219,3226883,3229846,3230025,3230249,3232136,3233520,3240013,3242270,3242673,3246149,	0	Nmt2	cmpl	cmpl	0,2,0,1,0,2,2,2,0,0,0,0,
609	NM_008708	chr2	+	3201483	3246149	3201568	3243363	14	3201483,3222083,3222668,3224254,3226738,3229727,3229933,3230132,3231965,3233411,3239842,3242102,3242535,3243342,	3201678,3222219,3222711,3224304,3226883,3229846,3230025,3230249,3232136,3233520,3240013,3242270,3242673,3246149,	0	Nmt2	cmpl	cmpl	0,2,0,1,0,1,0,2,2,2,0,0,0,0,
609	NM_001290369	chr2	+	3201483	3246149	3201650	3243363	13	3201483,3222083,3222668,3226738,3229727,3229933,3230132,3231965,3233411,3239842,3242102,3242535,3243342,	3201678,3222219,3222711,3226883,3229846,3230025,3230249,3232136,3233520,3240013,3242270,3242673,3246149,	0	Nmt2	cmpl	cmpl	0,1,2,0,1,0,2,2,2,0,0,0,0,
609	NM_001013376	chr2	-	3246220	3249900	3246292	3247135	2	3246220,3249798,	3247145,3249900,	0	Rpp38	cmpl	cmpl	0,-1,
609	NM_030063	chr2	+	3253439	3258269	3253481	3258043	4	3253439,3257604,3257826,3257969,	3253493,3257722,3257889,3258269,	0	Acbd7	cmpl	cmpl	0,0,1,1,
76	NM_145921	chr2	-	3259259	3283841	3259681	3282565	8	3259259,3260190,3263458,3264068,3265512,3278896,3282533,3283711,	3259824,3260273,3263628,3264168,3265651,3279027,3282723,3283841,	0	Olah	cmpl	cmpl	1,2,0,2,1,2,0,-1,
610	NM_008579	chr2	-	3326314	3339920	3326466	3329254	3	3326314,3329116,3339662,	3326595,3329283,3339920,	0	Meig1	cmpl	cmpl	0,0,-1,
610	NM_001302684	chr2	+	3341402	3372626	3341489	3371081	15	3341402,3342635,3346539,3351018,3353709,3354260,3354947,3355223,3358029,3360925,3361472,3364345,3367550,3370119,3370866,	3341598,3342687,3346624,3351078,3353765,3354362,3355020,3355364,3358131,3361062,3361527,3364434,3367645,3370470,3372626,	0	Dclre1c	cmpl	cmpl	0,1,2,0,0,2,2,0,0,0,2,0,2,1,1,
610	NM_146114	chr2	+	3341402	3372626	3341489	3371081	14	3341402,3342635,3346539,3351018,3353709,3354260,3354947,3355223,3358029,3360925,3361472,3364345,3367550,3370119,	3341598,3342687,3346624,3351078,3353765,3354362,3355020,3355364,3358131,3361062,3361527,3364434,3367645,3372626,	0	Dclre1c	cmpl	cmpl	0,1,2,0,0,2,2,0,0,0,2,0,2,1,
610	NM_001110214	chr2	+	3341402	3378386	3341489	3376226	15	3341402,3342635,3346539,3351018,3353709,3354260,3354947,3355223,3358029,3360925,3361472,3364345,3367550,3374815,3375962,	3341598,3342687,3346624,3351078,3353765,3354362,3355020,3355364,3358131,3361062,3361527,3364434,3367645,3374856,3378386,	0	Dclre1c	cmpl	cmpl	0,1,2,0,0,2,2,0,0,0,2,0,2,1,0,
610	NM_001302674	chr2	+	3341402	3378386	3351061	3376226	14	3341402,3342635,3351018,3354301,3354947,3355223,3358029,3360925,3361472,3364345,3367550,3370119,3374815,3375962,	3341598,3342687,3351078,3354358,3355020,3355364,3358131,3361062,3361527,3364434,3367645,3370470,3374856,3378386,	0	Dclre1c	cmpl	cmpl	-1,-1,0,2,2,0,0,0,2,0,2,1,1,0,
610	NM_175683	chr2	+	3341402	3378386	3341489	3376226	16	3341402,3342635,3346539,3351018,3353709,3354260,3354947,3355223,3358029,3360925,3361472,3364345,3367550,3370119,3374815,3375962,	3341598,3342687,3346624,3351078,3353765,3354362,3355020,3355364,3358131,3361062,3361527,3364434,3367645,3370470,3374856,3378386,	0	Dclre1c	cmpl	cmpl	0,1,2,0,0,2,2,0,0,0,2,0,2,1,1,0,
610	NM_022724	chr2	-	3373086	3392258	3375894	3392218	6	3373086,3377028,3379752,3381538,3389773,3391974,	3376001,3377158,3379899,3382198,3389919,3392258,	0	Suv39h2	cmpl	cmpl	1,0,0,0,1,0,
610	NR_027509	chr2	-	3373086	3392258	3392258	3392258	5	3373086,3377028,3379752,3381538,3391974,	3376001,3377158,3379899,3382198,3392258,	0	Suv39h2	unk	unk	-1,-1,-1,-1,-1,
76	NM_015765	chr2	-	3406125	3430086	3406262	3429962	14	3406125,3406969,3408208,3408792,3411769,3413835,3415293,3416478,3418319,3419765,3420008,3428286,3428445,3429905,	3406341,3407040,3408382,3409005,3411872,3413991,3415455,3416583,3418410,3419871,3420057,3428369,3428526,3430086,	0	Hspa14	cmpl	cmpl	2,0,0,0,2,2,2,2,1,0,2,0,0,0,
611	NR_103465	chr2	-	3421800	3430086	3430086	3430086	5	3421800,3425564,3428286,3428445,3429905,	3425021,3426367,3428369,3428526,3430086,	0	Hspa14	unk	unk	-1,-1,-1,-1,-1,
